Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530245851769845, 530245852071305, 530245852146897, 530245852151934, 530245852279506, 530245881525039, 530245881537465, 530245881745611
530245881756241, 530245882035663, 530245882102014, 530245882107033, 530245882234142, 530245911471602, 530245911483028, 530245911696173
530245911707006, 530245911987837, 530245912089965, 530245912096428, 530245912234649, 530245941599310, 530245941618310, 530245941857585
530245941867307, 530245942180211, 530245942260562, 530245942265691, 530245942419893, 530245972161828, 530245972178328, 530245972398751
530245972404733, 530245972687211, 530245972759747, 530245972765451, 530245972892357, 530246004318883, 530246004337068, 530246004558714
530246004566547, 530246004844507, 530246004918006, 530246004923877, 530246005046912, 530246036175016, 530246036191238, 530246036411440
530246036419180, 530246036709603, 530246036771917, 530246036777158, 530246036913360, 530246066702850, 530246066719164, 530246067026327
530246067035772, 530246067326380, 530246067404527, 530246067409397, 530246067560858, 530246098305541, 530246098321615, 530246098548927
530246098555260, 530246098844979, 530246098918515, 530246098923497, 530246099052681, 530246128315806, 530246128327417, 530246128535174
530246128545692, 530246128843504, 530246128914225, 530246128919799, 530246129051390, 530246159362800, 530246159373948, 530246159594131
530246159605760, 530246159921072, 530246159992534, 530246159997626, 530246160167476, 530246189405510, 530246189416139, 530246189630785
530246189642377, 530246189924522, 530246189995410, 530246190000280, 530246190132538, 530246219417849, 530246219431238, 530246219650791
530246219660661, 530246219957213, 530246220061638, 530246220067378, 530246220198210, 530246249427188, 530246249434484, 530246249550427
530246249558872, 530246250139476, 530246250150958, 530246250154550, 530246250188216, 530246279898355, 530246279910689, 530246280124149
530246280138093, 530246280442868, 530246280520904, 530246280526756, 530246280655199, 530246309891936, 530246309901047, 530246310041971
530246310050730, 530246310305709, 530246310383263, 530246310388245, 530246310506373, 530246340784524, 530246340797561, 530246341016799
530246341025632, 530246341314462, 530246341386851, 530246341391665, 530246341520405, 530246370946936, 530246370958287, 530246371099804
530246371106341, 530246371357635, 530246371423634, 530246371428708, 530246371536429, 530246400770536, 530246400778481, 530246400895202
530246400902535, 530246401122551, 530246401184421, 530246401188976, 530246401298086, 530246430522638, 530246430530249, 530246430646266
