Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130401479602601, 1130401479603231, 1130401479628842, 1130401479643527, 1130401479670823, 1130401480470258, 8191
1130401480546276, 1130401480546887, 1130401480576942, 1130401480590590, 1130401480617090, 1130401481385322, 8192
1130401481414396, 1130401481415044, 1130401481438395, 1130401481453155, 1130401481479284, 1130401482248183, 8191
1130401482369885, 1130401482370496, 1130401482398810, 1130401482414273, 1130401482442940, 1130401483209301, 8192
1130401483242171, 1130401483242782, 1130401483266319, 1130401483280615, 1130401483306078, 1130401484258586, 8191
1130401484285456, 1130401484286067, 1130401484312715, 1130401484326048, 1130401484354529, 1130401485124835, 8192
1130401485149002, 1130401485149613, 1130401485172112, 1130401485186279, 1130401485212927, 1130401485961992, 8191
1130401485982955, 1130401485983529, 1130401486005659, 1130401486019140, 1130401486035917, 1130401486206638, 1158
1130401486533338, 1130401486533949, 1130401486571985, 1130401486585745, 1130401486617337, 1130401487317884, 7034
1130401487397735, 1130401487398365, 1130401487427883, 1130401487442346, 1130401487477531, 1130401488441927, 9349
1130401488531815, 1130401488532556, 1130401488565296, 1130401488579278, 1130401488607703, 1130401489258770, 7034
1130401489447879, 1130401489448508, 1130401489485934, 1130401489501952, 1130401489533915, 1130401490425775, 9349
1130401490543700, 1130401490544348, 1130401490577088, 1130401490591384, 1130401490621754, 1130401491265117, 7034
1130401491340450, 1130401491341080, 1130401491365672, 1130401491379894, 1130401491406653, 1130401492340827, 9349
1130401492422808, 1130401492423456, 1130401492452326, 1130401492465974, 1130401492497437, 1130401493146004, 7034
1130401493219058, 1130401493219706, 1130401493242577, 1130401493255891, 1130401493282706, 1130401494126992, 9349
1130401494242399, 1130401494243047, 1130401494271454, 1130401494286083, 1130401494311842, 1130401494945428, 7034
1130401495013556, 1130401495014186, 1130401495037093, 1130401495051334, 1130401495076945, 1130401495923379, 9349
1130401496027101, 1130401496027749, 1130401496061730, 1130401496075822, 1130401496103877, 1130401496750685, 7034
1130401496826906, 1130401496827536, 1130401496851925, 1130401496864998, 1130401496892498, 1130401497736303, 9349
1130401497849543, 1130401497850191, 1130401497879431, 1130401497894190, 1130401497919449, 1130401498552016, 7034
1130401498626738, 1130401498627367, 1130401498651775, 1130401498665719, 1130401498691904, 1130401499537987, 9349
1130401499617634, 1130401499618264, 1130401499645800, 1130401499659726, 1130401499683707, 1130401500409181, 7034
1130401500481846, 1130401500482476, 1130401500514179, 1130401500527901, 1130401500556660, 1130401501338114, 8192
1130401501409873, 1130401501410521, 1130401501436428, 1130401501450409, 1130401501479205, 1130401502238567, 8191
1130401502349899, 1130401502350547, 1130401502377992, 1130401502392621, 1130401502423139, 1130401503180075, 8192
1130401503254352, 1130401503255000, 1130401503279981, 1130401503293963, 1130401503321648, 1130401504118527, 8191
